Model,Akurasi,Precision Macro,Recall Macro,F1 Macro,AUC-ROC
Random Forest,0.7651736111111112,0.5514078574420404,0.5966809254370214,0.5531608394959436,0.6643180784216154
XGBoost,0.8877256944444445,0.5807772026853045,0.5245042665125801,0.5261793619759266,0.6632438499067514
LightGBM,0.8881076388888889,0.5796386429755644,0.5233066840122,0.524257246221984,0.6651882301462044
SVM,0.6508680555555556,0.5498239237968928,0.6305218846543075,0.5134902887833908,0.669375498665228
Logistic Regression,0.6250694444444445,0.5473159707671306,0.6277204360993629,0.49976821067565863,0.6784955444114933
