antecedent,consequent,antecedent_name,consequent_name,support,antecedent support,consequent support,confidence,lift
020776,036899,BOOM POWDER 400GR,BOOM POWDER 400GR JERUK NIPIS,0.0010110158603113086,0.002611790972470881,0.0025907281420477282,0.3870967741935483,149.4162077104642
003273,003271,NUVO FAMILY 80GR BIRU,NUVO FAMILY 80GR KUNING,0.0010531415211576132,0.002548602481201424,0.002948796259241317,0.4132231404958678,140.1328217237308
003271,003273,NUVO FAMILY 80GR KUNING,NUVO FAMILY 80GR BIRU,0.0010531415211576132,0.002948796259241317,0.002548602481201424,0.35714285714285715,140.1328217237308
003272,003270,NUVO FAMILY 80GR HIJAU,NUVO FAMILY 80GR MERAH,0.0015586494513132674,0.0033279272068580576,0.003370052867704362,0.46835443037974683,138.97539556962025
003270,003272,NUVO FAMILY 80GR MERAH,NUVO FAMILY 80GR HIJAU,0.0015586494513132674,0.003370052867704362,0.0033279272068580576,0.46249999999999997,138.97539556962025
003270,003271,NUVO FAMILY 80GR MERAH,NUVO FAMILY 80GR KUNING,0.0013480211470817448,0.003370052867704362,0.002948796259241317,0.4,135.64857142857144
003271,003270,NUVO FAMILY 80GR KUNING,NUVO FAMILY 80GR MERAH,0.0013480211470817448,0.002948796259241317,0.003370052867704362,0.45714285714285713,135.64857142857142
003277,004278,GIV 80GR PINK,GIV 80GR HIJAU,0.0013269583166585926,0.003117298902626535,0.0031594245634728397,0.4256756756756757,134.73202702702704
004278,003277,GIV 80GR HIJAU,GIV 80GR PINK,0.0013269583166585926,0.0031594245634728397,0.003117298902626535,0.42,134.73202702702702
003277,003278,GIV 80GR PINK,GIV 80GR UNGU,0.001284832655812288,0.003117298902626535,0.0031594245634728397,0.41216216216216217,130.45481981981982
003278,003277,GIV 80GR UNGU,GIV 80GR PINK,0.001284832655812288,0.0031594245634728397,0.003117298902626535,0.4066666666666666,130.45481981981982
010123,052408,LUX BEAUTY 90GR PURPLE,LUX BEAUTY 85GR BLUE AQUA,0.0010110158603113086,0.003138361733049687,0.0025275396507782716,0.32214765100671144,127.45503355704699
052408,010123,LUX BEAUTY 85GR BLUE AQUA,LUX BEAUTY 90GR PURPLE,0.0010110158603113086,0.0025275396507782716,0.003138361733049687,0.39999999999999997,127.45503355704697
003278,004278,GIV 80GR UNGU,GIV 80GR HIJAU,0.001200581334119679,0.0031594245634728397,0.0031594245634728397,0.38,120.27506666666666
004278,003278,GIV 80GR HIJAU,GIV 80GR UNGU,0.001200581334119679,0.0031594245634728397,0.0031594245634728397,0.38,120.27506666666666
