Model,Akurasi,Precision Macro,Recall Macro,F1 Macro,AUC-ROC,Detik
Random Forest,0.7132359611720948,0.6387593403333227,0.6641649975824897,0.645617509125905,0.7414665834674506,1.4
XGBoost,0.769073754876168,0.6757335629970636,0.6306584346951916,0.6435376083953328,0.7396242607894147,0.6
Logistic Regression,0.6807584142248027,0.6279271110331558,0.6644438232164733,0.6290938190779819,0.7313404519706377,0.1
LightGBM,0.7739272430372857,0.6853457714250724,0.612386391779105,0.62589203716228,0.7399246433769702,1.5
